exam,score_3,score_4,score_5,source_url,reviewed_at
AP Art History,ART 1,ART 102 or ART 104,ART 102 or ART 104,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Biology,BIO 210,BIO 210,BIO 210,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Calculus AB,MAT 301,MAT 301,MAT 301,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Calculus BC,MAT 302,MAT 302,MAT 302,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Chemistry,CHE 201,CHE 201,CHE 201,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Chinese Language & Culture,CHI 200,CHI 210,CHI 1,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Comparative Government & Policies,POL 1,POL 110,POL 110,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Computer Science A,CSC 110,CSC 110,CSC 110,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP English Language & Composition,ENG 101,ENG 121,ENG 121,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Environmental Science,SCI 1,SCI 1,SCI 1,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP European History,GEN 1,GEN 1,GEN 1,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP French Language & Culture,FRN 200,FRN 210,FRN 1,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP German Language & Culture,LAN 4,LAN 4,LAN 4,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Human Geography,GEO 2,GEO 100,GEO 100,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Italian Language & Culture,ITL 200,ITL 210,ITL 1,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Japanese Language & Culture,LAN 4,LAN 4,LAN 4,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Macroeconomics,ECO 100,ECO 201,ECO 201,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Microeconomics,ECO 100,ECO 202,ECO 202,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Music Theory,MUS 105,MUS 117,MUS 117,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Physics 1: Algebra-based,PHY 210,PHY 210,PHY 210,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Physics 2: Algebra-based,PHY 220,PHY 220,PHY 220,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Physics C: Electricity & Magnetism,PHY 225,PHY 225,PHY 225,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Physics C: Mechanics,PHY 215,PHY 215,PHY 215,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Psychology,GEN 1,PSY 100,PSY 100,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Spanish Literature & Culture,SPN 200,SPN 210,SPN 1,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP Statistics,MAT 209,MAT 209,MAT 209,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP U.S. Government & Politics,POL 100,POL 100,POL 100,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP U.S. History,HIS 120,HIS 120,HIS 120,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
AP World History,HIS 115,HIS 115,HIS 115,https://www.bmcc.cuny.edu/admissions/apply-now/credit-for-prior-learning-cpl/,2026-08-26
