category,question,answer,keywords,source_url
"Getting started","How do I get involved in research at BMCC?","Explore BMCC undergraduate research programs and connect with faculty whose research interests align with yours. Program eligibility and commitments differ, so compare individual opportunities before applying.","get involved;start research;research opportunity","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"Programs","What undergraduate research programs are available at BMCC?","The Research Office material lists CRSP, the BMCC Foundation Fund (BFF), CSTEP Prep, CSTEP Research Explorers, CSTEP Research Scholars, and Women in STEM. Each has different eligibility, timing, commitment, and benefits.","programs;opportunities;CRSP;BFF;CSTEP;Women in STEM","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"CRSP","What is CRSP?","The CUNY Research Scholars Program is an intensive faculty-mentored research opportunity for BMCC students. It develops research, academic, professional, and presentation skills across three semesters.","CUNY Research Scholars Program;three semesters","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"CRSP","Who is eligible for CRSP?","CRSP applicants must be full-time BMCC students with at least a 3.0 GPA, be U.S. citizens or permanent residents, be able to complete all three semesters, and have a BMCC faculty research mentor.","eligibility;GPA;citizenship;full time;mentor","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"CRSP","How long is CRSP and how many hours are required?","CRSP is a three-semester commitment: 100 research hours in Fall, 100 in Spring, and 200 in Summer.","hours;commitment;fall;spring;summer","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"CRSP","How much is the CRSP stipend?","Students can receive up to $5,000 total: $1,500 in Fall, $1,500 in Spring, and $2,000 in Summer, subject to completing program and payment requirements.","stipend;money;payment;5000","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"BFF","What is the BMCC Foundation Fund research program?","BFF is a one-semester faculty-mentored research opportunity for full-time BMCC students. The supplied material states a $1,500 stipend for the semester.","BFF;Foundation Fund;one semester;stipend","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"BFF","Who is eligible for BFF?","The Research Office FAQ says BFF requires full-time enrollment, a minimum 3.0 GPA, U.S. citizenship or permanent residency, and a BMCC faculty research mentor.","BFF eligibility;GPA;citizenship;mentor","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"CSTEP","What is CSTEP?","CSTEP is the Collegiate Science and Technology Entry Program. BMCC CSTEP opportunities provide eligible students with academic, professional-development, and research experiences.","CSTEP;science;technology;professional development","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"CSTEP","What CSTEP opportunities are available?","The material lists CSTEP Prep, CSTEP Research Explorers, and CSTEP Research Scholars. Prep focuses on professional development, Explorers is introductory research, and Scholars is a more intensive research experience.","Prep;Explorers;Scholars","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"CSTEP","Do I have to complete CSTEP Prep first?","No. CSTEP Prep is not a prerequisite for CSTEP Research Explorers or CSTEP Research Scholars.","prerequisite;start;Prep","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"CSTEP","Can international students participate in CSTEP?","Yes. The Research Office FAQ says CSTEP accepts international students who meet the applicable eligibility requirements.","international student;visa;citizenship","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"CSTEP","Does CSTEP provide a stipend?","CSTEP Prep does not provide a stipend. The material says Research Explorers may provide $500 upon completion for eligible cohorts and Research Scholars may provide $1,500 per semester, subject to program requirements.","stipend;money;Prep;Explorers;Scholars","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"Mentors","Do I need a faculty research mentor?","It depends on the program. CRSP and BFF require a faculty research mentor before application. CSTEP mentor requirements vary by the specific opportunity.","mentor;professor;faculty","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"Mentors","How do I find a research mentor?","Explore faculty research interests and contact faculty whose work aligns with your interests. Ask about current projects, undergraduate openings, responsibilities, and time commitment. The Research Office also maintains a faculty opportunities sheet.","find mentor;professor;faculty research","https://docs.google.com/spreadsheets/d/13Rhgl5ZdkY8wwFdNZabrvV0EroH2CTBN0AUo9ibtYMA/edit"
"Eligibility","Do I need previous research experience?","Not necessarily. Previous research experience is not required for every opportunity. CSTEP Research Explorers is described as an introductory, internship-like experience.","beginner;first research;no experience","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
"Eligibility","Can part-time students participate?","The Research Office FAQ states that the listed programs require full-time enrollment. Confirm the current requirement for the specific program before applying.","part time;full time;enrollment","https://www.bmcc.cuny.edu/academics/research-and-scholarly-inquiry/"
