institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source,completion_options,required_course_sets,required_course_set_count,prerequisite_groups
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Required Common Core,common_core,12,10,WAL-JRN-MATH,Mathematical and Quantitative Reasoning requirement,3,,,RC_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Required Common Core,common_core,12,10,WAL-JRN-LPS,Life and Physical Sciences requirement,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,WAL-JRN-CREATIVE,Creative Expression course excluding Speech,3,,,WAL_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,WAL-JRN-INDIVIDUAL,Individual and Society requirement,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,WAL-JRN-SCIENTIFIC,Scientific World requirement,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,WAL-JRN-US,U.S. Experience in Its Diversity requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,WAL-JRN-WORLD,World Cultures and Global Issues - first language course may be used here,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
